184	2796	14700	-3812	21	0	21	0	0	0	0	0	0	8192	0	0	0	0	0	95	142	45	40	28	96
185	3440	15300	-4588	21	0	21	0	0	0	0	0	0	8192	0	0	0	0	0	95	142	45	40	28	72
186	3076	15136	-4760	21	0	21	0	0	0	0	0	0	8192	0	0	0	0	0	95	142	45	40	28	211
187	2044	14172	-5168	21	0	21	0	0	0	0	0	0	8192	0	0	0	0	0	95	142	46	44	37	236
188	2976	14476	-6156	21	0	21	0	0	0	0	0	0	8192	0	0	0	0	0	95	142	48	46	47	217
189	3252	14696	-6276	21	0	21	0	0	0	0	0	0	16384	0	0	0	0	0	95	142	20	17	29	221
190	3136	14724	-6208	21	0	21	0	0	0	0	0	0	16384	0	0	0	0	0	95	142	22	19	33	222
191	3364	14344	-5968	21	0	21	0	0	0	0	0	0	16384	0	0	0	0	0	95	142	23	19	38	202
192	3604	14584	-5924	21	0	21	0	0	0	0	0	0	16384	0	0	0	0	0	95	142	25	26	39	198
193	3180	14192	-5440	21	0	21	0	0	0	0	0	0	16384	0	0	0	0	0	95	142	29	35	52	200
194	2324	13400	-5064	21	0	21	0	0	0	0	0	0	8192	0	0	0	0	0	95	142	58	77	57	204
195	3344	15192	-4484	21	0	21	0	0	0	0	0	0	8192	0	0	0	0	0	95	142	50	73	50	176
196	2832	15400	-4056	21	0	21	0	0	0	0	0	0	0	0	0	0	0	0	95	142	50	73	42	143
197	1264	15228	-3708	21	0	21	0	0	0	0	0	0	0	0	0	0	0	0	95	142	51	73	41	118
198	1444	14648	-3068	21	0	21	0	0	0	0	0	0	8192	0	0	0	0	0	95	142	45	69	44	99
199	2496	16412	-2556	21	0	21	0	0	0	0	0	0	16384	0	0	0	0	0	95	142	45	70	49	79
200	1388	15800	-2868	21	0	21	0	0	0	0	0	0	16384	0	0	0	0	0	95	142	42	63	48	72
201	-564	15924	-2312	21	0	21	0	0	0	0	0	0	16384	0	0	0	0	0	95	142	39	54	36	67
202	-196	14944	-1000	21	0	21	0	0	0	0	0	0	16384	0	0	0	0	0	95	142	11	12	31	64
203	-1724	14716	900	21	0	21	0	0	0	0	0	0	16384	0	0	0	0	0	95	142	11	12	27	62
204	-1092	14388	2244	21	0	21	0	0	0	0	0	0	16384	8	0	3	0	0	95	142	11	10	26	58
205	820	16004	1168	21	0	21	0	0	0	0	0	0	16384	0	0	11	0	0	95	142	9	10	25	70
206	228	15992	160	21	0	21	0	0	0	0	0	0	16384	0	0	14	0	0	95	142	9	8	18	106
207	320	15516	136	21	0	21	0	0	0	0	0	0	16384	0	0	8	0	0	95	142	32	13	13	127
208	616	15144	540	21	0	21	0	0	0	0	0	0	16384	0	0	7	0	0	95	142	45	18	16	142
209	632	14924	144	21	0	21	0	0	0	0	0	0	16384	0	0	1	0	0	95	142	51	27	19	155
210	852	15456	-72	21	0	21	0	0	0	0	0	0	8192	0	0	0	0	0	95	142	56	29	21	153
211	720	16400	124	21	0	21	0	0	0	0	0	0	8192	0	0	0	0	0	95	142	64	32	26	147
212	1132	16208	-512	21	0	21	0	0	0	0	0	0	8192	0	0	0	0	0	95	142	64	34	26	156
213	1172	15908	-1236	21	0	21	0	0	0	0	0	0	8192	0	0	1	0	0	95	142	68	36	26	136
214	2144	15108	-1856	21	0	21	0	0	0	0	0	0	8192	0	0	9	0	0	95	142	69	38	25	104
215	2084	14952	-2740	21	0	21	0	0	0	0	0	0	16384	0	0	33	0	0	95	142	45	31	21	76
216	1772	14840	-3168	21	0	21	0	0	0	0	0	0	16384	0	0	66	0	0	95	142	31	27	18	58
217	1856	15028	-3080	21	0	21	0	0	0	0	0	0	16384	0	0	70	0	0	95	142	25	17	14	46
218	1212	15332	-2656	21	0	21	0	0	0	0	0	0	16388	0	0	30	0	0	125	142	19	14	11	41
219	172	15972	-1920	21	0	21	0	0	0	0	0	0	16384	0	0	2	0	0	95	142	11	9	6	34
220	372	15544	-1916	21	0	21	0	0	0	0	0	0	8192	0	0	0	0	0	95	142	9	7	4	31
221	868	15676	-2024	21	0	21	0	0	0	0	0	0	8192	0	0	0	0	0	95	142	4	5	3	28
222	748	15196	-2268	21	0	21	0	0	0	0	0	0	8192	0	0	0	0	0	95	142	2	1	3	26
223	1356	15120	-2872	21	0	21	0	0	0	0	0	0	8192	0	0	0	0	0	95	142	3	1	3	25
224	1584	15376	-3124	21	0	21	0	0	0	0	0	0	8192	0	0	0	0	0	95	142	3	1	3	26
225	1204	15268	-2792	21	0	21	0	0	0	0	0	0	8192	0	0	1	0	0	95	142	2	1	2	25
226	704	15568	-2596	21	0	21	0	0	0	0	0	0	8192	0	0	22	0	0	95	142	2	1	2	25
