feature,class_0_mean,class_0_std,class_1_mean,class_1_std,mean_difference,cv_0,cv_1,discriminative_power
b1000_trend,-0.011106484193485732,22.772954522524937,10.360706751054845,14.045038782227023,10.37181323524833,2050.417901976837,1.3556062444524843,0.28170501163876926
b1000_high_threshold_ratio,0.21330482897384306,0.06555328695632207,0.23875000000000002,0.025310570914145736,0.025445171026156954,0.3073220807914286,0.10601285802729699,0.2800361862476585
b1000_relative_std,1.652378473300767,0.8818511691061475,1.9437924014188603,0.4064733845550699,0.2914139281180934,0.533685943031995,0.20911357723552743,0.2261960505433045
b100_relative_std,1.8402740910440463,0.8688606333424346,2.237196570817326,1.0463215817225537,0.39692247977327955,0.4721365327314568,0.46769317935408966,0.2072505031524145
b400_high_threshold_ratio,0.21868712273641852,0.06060699402386263,0.23625,0.0266471282588658,0.017562877263581467,0.2771401923171751,0.11279207251193683,0.20128418911636994
b400_mean,417.47772635814897,698.4780481265215,677.5287500000001,654.386322916205,260.0510236418511,1.6730905722873821,0.9658428854960716,0.19222253849400542
b400_max,3619.8124748490945,6359.912992707059,5702.0,4776.047063791934,2082.1875251509055,1.7569730578252196,0.8376090957179162,0.18697871710969924
b400_std,964.5589712837467,1704.453253936763,1487.5147326752372,1304.8837711500682,522.9557613914905,1.7670804011605519,0.8772240990141412,0.17377773145055542
accel_z_mean_activity,114.46964317550875,165.6323455335953,144.24303797468355,24.891943513068366,29.773394799174795,1.4469543271413243,0.1725694623522247,0.15627086156096306
env_high_threshold_ratio,0.24387826961770626,0.016807579746654765,0.2475,0.007905694150420946,0.003621730382293742,0.06891790352548677,0.03194219729696555,0.14654994445000877
env_relative_std,1.3951619354938056,0.755250015193184,1.5266100877791102,0.33389355625216216,0.1314481522853046,0.5413350167932439,0.21871567385667473,0.1206894614490282
b100_regularity,0.9132446136947403,0.06445392061495792,0.8877683737976728,0.1626174536275682,0.025476239897067487,0.07057684101571254,0.18317554059756827,0.11219485001182407
b100_max,7786.046277665996,15318.093156327428,10299.0,9099.52592171702,2512.953722334004,1.9673776150351396,0.8835348986996975,0.10291559198712144
b100_mean,882.57296277666,1657.653973892591,1178.0037499999999,1274.5461035078388,295.43078722333985,1.8782061583426135,1.0819541987850374,0.10075396610870065
env_std,469.5604218895926,439.20698227379455,399.01363696399244,284.9092554752053,70.54678492560015,0.9353577554449668,0.7140338802349645,0.09742466919942142
env_regularity,0.9269890085763028,0.05482669820428635,0.9181232855479312,0.03871920317767429,0.00886572302837163,0.05914492739999317,0.04217211714965458,0.09477403017831192
env_max,1927.214889336016,1743.5099269109871,1671.6,1080.3413246644682,255.61488933601618,0.904678526795023,0.6462917711521927,0.09051995539513663
accel_z_max_activity,633.1476861167002,1585.2683328437583,788.4,170.67135410229542,155.25231388329973,2.503789191020636,0.2164781254441028,0.08841551622563519
b400_b100_ratio,0.8481023250824214,1.3887007032276828,1.0267931203537477,0.7425352512041291,0.17869079527132625,1.6374211528290676,0.7231595432940938,0.08384374055876317
b100_std,2070.9671401104742,4061.340712877256,2612.0204273954237,2498.1734338722704,541.0532872849494,1.9610840916775705,0.9564142024546722,0.08248374424990543
b1000_mean,374.7769265593561,650.6810795698291,454.9862499999999,394.59468654249446,80.2093234406438,1.7361823352522054,0.8672672779316338,0.07673508373603422
b400_regularity,0.8981948309870493,0.1311439832366131,0.9117918078217102,0.064272038399041,0.013596976834660879,0.1460083906655438,0.07048981702049953,0.06957963848130912
env_mean,262.3182092555332,227.95780152123243,239.59375,166.62454720389422,22.72445925553319,0.8690124950131874,0.6954461341205259,0.057591170330803514
b400_b1000_ratio,1.3061621352252362,0.9651990125081543,1.2536506861279655,0.37952027576293496,0.05251144909727068,0.7389580352152331,0.30273207436100347,0.03905011935560444
b1000_max,3211.6237424547285,5976.210948149259,3502.1,2790.7459954483697,290.47625754527144,1.8608066907497938,0.796877871974073,0.03313307678065767
